datetime,spot_price,power,market_dispatch,opening_capacity,revenue
2023-02-20 00:00:00,159.92,1.0,0.2375,1.0,37.980999999999995
2023-02-20 00:15:00,85.07,1.0,0.2375,0.75,20.204124999999998
2023-02-20 00:30:00,65.05,0.9,0.21375,0.5,13.904437499999998
2023-02-20 00:45:00,44.64,-1.0,-0.25,0.275,-11.16
2023-02-20 01:00:00,90.1,1.0,0.2375,0.5125,21.398749999999996
2023-02-20 01:15:00,75.08,1.0,0.2375,0.2625,17.8315
2023-02-20 01:30:00,60.07,0.0,0.0,0.0125,0.0
2023-02-20 01:45:00,45.06,-1.0,-0.25,0.0125,-11.265
2023-02-20 02:00:00,65.06,1.0,0.2375,0.25,15.45175
2023-02-20 02:15:00,55.05,-2.22044604925031e-16,-5.551115123125775e-17,-5.55111512312578e-17,-3.0558888752807393e-15
2023-02-20 02:30:00,45.02,-1.0,-0.25,0.0,-11.255
2023-02-20 02:45:00,40.04,-1.0,-0.25,0.2375,-10.01
2023-02-20 03:00:00,45.08,-0.526315789473683,-0.13157894736842074,0.475,-5.931578947368407
2023-02-20 03:15:00,40.07,-1.0,-0.25,0.6,-10.0175
2023-02-20 03:30:00,40.07,-1.0,-0.25,0.8375,-10.0175
2023-02-20 03:45:00,52.46,1.0,0.2375,1.075,12.459249999999999
2023-02-20 04:00:00,20.29,-1.0,-0.25,0.825,-5.0725
2023-02-20 04:15:00,35.0,-1.0,-0.25,1.0625,-8.75
2023-02-20 04:30:00,40.02,-1.0,-0.25,1.3,-10.005
2023-02-20 04:45:00,99.95,1.0,0.2375,1.5375,23.738125
2023-02-20 05:00:00,-9.3,-1.0,-0.25,1.2875,2.325
2023-02-20 05:15:00,-0.99,-1.0,-0.25,1.525,0.2475
2023-02-20 05:30:00,26.09,-1.0,-0.25,1.7625,-6.5225
2023-02-20 05:45:00,299.17,1.0,0.2375,2.0,71.052875
2023-02-20 06:00:00,-0.9,-1.0,-0.25,1.75,0.225
2023-02-20 06:15:00,85.29,0.0,0.0,1.9875,0.0
2023-02-20 06:30:00,129.97,1.0,0.2375,1.9875,30.867874999999998
2023-02-20 06:45:00,189.92,1.0,0.2375,1.7375,45.105999999999995
2023-02-20 07:00:00,25.09,-1.0,-0.25,1.4875,-6.2725
2023-02-20 07:15:00,114.94,1.0,0.2375,1.725,27.29825
2023-02-20 07:30:00,147.98,1.0,0.2375,1.475,35.14525
2023-02-20 07:45:00,179.94,1.0,0.2375,1.225,42.735749999999996
2023-02-20 08:00:00,40.1,-1.0,-0.25,0.975,-10.025
2023-02-20 08:15:00,109.18,1.0,0.2375,1.2125,25.93025
2023-02-20 08:30:00,124.96,1.0,0.2375,0.9625,29.677999999999997
2023-02-20 08:45:00,124.97,1.0,0.2375,0.7125,29.680374999999998
2023-02-20 09:00:00,85.04,-0.210526315789473,-0.05263157894736825,0.4625,-4.4757894736841966
2023-02-20 09:15:00,75.07,-1.0,-0.25,0.5125,-18.7675
2023-02-20 09:30:00,119.93,1.0,0.2375,0.75,28.483375
2023-02-20 09:45:00,119.45,1.0,0.2375,0.5,28.369374999999998
2023-02-20 10:00:00,134.9,1.0,0.2375,0.25,32.03875
2023-02-20 10:15:00,70.1,-0.0526315789473685,-0.013157894736842125,0.0,-0.922368421052633
2023-02-20 10:30:00,65.1,-1.0,-0.25,0.0125,-16.275
2023-02-20 10:45:00,77.2,0.0,0.0,0.25,0.0
2023-02-20 11:00:00,82.75,1.0,0.2375,0.25,19.653125
2023-02-20 11:15:00,65.09,0.0,0.0,0.0,0.0
2023-02-20 11:30:00,55.09,-0.526315789473683,-0.13157894736842074,0.0,-7.248684210526299
2023-02-20 11:45:00,45.07,-1.0,-0.25,0.125,-11.2675
2023-02-20 12:00:00,75.06,1.0,0.2375,0.3625,17.82675
2023-02-20 12:15:00,60.04,0.0,0.0,0.1125,0.0
2023-02-20 12:30:00,23.86,-1.0,-0.25,0.1125,-5.965
2023-02-20 12:45:00,35.02,-1.0,-0.25,0.35,-8.755
2023-02-20 13:00:00,65.1,1.0,0.2375,0.5875,15.461249999999998
2023-02-20 13:15:00,55.06,-1.0,-0.25,0.3375,-13.765
2023-02-20 13:30:00,50.01,-1.0,-0.25,0.575,-12.5025
2023-02-20 13:45:00,20.08,-1.0,-0.25,0.8125,-5.02
2023-02-20 14:00:00,55.08,-1.0,-0.25,1.05,-13.77
2023-02-20 14:15:00,55.03,-1.0,-0.25,1.2875,-13.7575
2023-02-20 14:30:00,30.09,-1.0,-0.25,1.525,-7.5225
2023-02-20 14:45:00,60.04,0.0,0.0,1.7625,0.0
2023-02-20 15:00:00,60.08,0.0,0.0,1.7625,0.0
2023-02-20 15:15:00,60.05,0.0,0.0,1.7625,0.0
2023-02-20 15:30:00,52.35,-1.0,-0.25,1.7625,-13.0875
2023-02-20 15:45:00,60.04,0.0,0.0,2.0,0.0
2023-02-20 16:00:00,99.94,1.0,0.2375,2.0,23.73575
2023-02-20 16:15:00,104.91,1.0,0.2375,1.75,24.916124999999997
2023-02-20 16:30:00,69.86,-1.0,-0.25,1.5,-17.465
2023-02-20 16:45:00,80.1,-0.105263157894736,-0.026315789473684,1.7375,-2.107894736842088
2023-02-20 17:00:00,45.08,-1.0,-0.25,1.7625,-11.27
2023-02-20 17:15:00,94.63,0.0,0.0,2.0,0.0
2023-02-20 17:30:00,139.94,1.0,0.2375,2.0,33.235749999999996
2023-02-20 17:45:00,154.96,1.0,0.2375,1.75,36.803
2023-02-20 18:00:00,114.97,1.0,0.2375,1.5,27.305374999999998
2023-02-20 18:15:00,129.92,1.0,0.2375,1.25,30.855999999999995
