DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEMAND_[MW],AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW],BELGIUM_DEMAND_[MW],BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW],BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW],DENMARK_DEMAND_[MW],DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DENMARK_DEFICIT(-)_SURPLUS(+)_[MW],FRANCE_DEMAND_[MW],FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],FRANCE_DEFICIT(-)_SURPLUS(+)_[MW],GERMANY_DEMAND_[MW],GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],GERMANY_DEFICIT(-)_SURPLUS(+)_[MW],NETHERLANDS_DEMAND_[MW],NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW],NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW],SLOVENIA_DEMAND_[MW],SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW],SWITZERLAND_DEMAND_[MW],SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW],CZECH_REPUBLIC_DEMAND_[MW],CZECH_REPUBLIC_SETTLEMENTCAPACITY_PRICE_[EUR/MW],CZECH_REPUBLIC_DEFICIT(-)_SURPLUS(+)_[MW],hour,datetime
2024-01-01,2024-01-01,FCR,1,NEGPOS_00_04,114.8,72,114.8,11,93,219.04,-65,25,114.8,-16,486,5.77,145,564,114.8,34,110,114.8,-31,14,114.8,-7,62,114.8,-20,77,416,-51,0,2024-01-01 00:00:00
2024-01-01,2024-01-01,FCR,1,NEGPOS_04_08,104.4,72,104.4,11,93,219.4,-65,25,104.4,-16,486,7.56,145,564,104.4,33,110,104.4,-28,14,104.4,-7,62,104.4,-22,77,416,-51,4,2024-01-01 04:00:00
2024-01-01,2024-01-01,FCR,1,NEGPOS_08_12,68.8,72,68.8,22,93,220.12,-65,25,68.8,-21,486,8.8,145,564,68.8,46,110,68.8,-42,14,68.8,-13,62,68.8,-21,77,416,-51,8,2024-01-01 08:00:00
2024-01-01,2024-01-01,FCR,1,NEGPOS_12_16,77.6,72,77.6,11,93,220.8,-65,25,77.6,-21,486,7.05,145,564,77.6,42,110,77.6,-28,14,77.6,-13,62,77.6,-20,77,390.4,-51,12,2024-01-01 12:00:00
2024-01-01,2024-01-01,FCR,1,NEGPOS_16_20,72.4,72,72.4,20,93,221.16,-65,25,72.4,-22,486,6.8,145,564,72.4,50,110,72.4,-42,14,72.4,-14,62,72.4,-21,77,390.4,-51,16,2024-01-01 16:00:00
2024-01-01,2024-01-01,FCR,1,NEGPOS_20_24,79.96,72,79.96,20,93,221.6,-65,25,79.96,-21,486,6.4,145,564,79.96,55,110,79.96,-49,14,79.96,-14,62,79.96,-20,77,390.4,-51,20,2024-01-01 20:00:00
2024-01-02,2024-01-02,FCR,1,NEGPOS_00_04,94,72,94,24,93,277.4,-65,25,94,-20,486,5.4,145,564,94,58,110,94,-49,14,94,-12,62,94,-29,77,352,-52,0,2024-01-02 00:00:00
2024-01-02,2024-01-02,FCR,1,NEGPOS_04_08,98,72,98,25,93,277.4,-65,25,98,-20,486,6,145,564,98,59,110,98,-46,14,98,-12,62,98,-34,77,352,-52,4,2024-01-02 04:00:00
2024-01-02,2024-01-02,FCR,1,NEGPOS_08_12,67.03,72,67.03,45,93,277.4,-65,25,67.03,-21,486,6,145,564,67.03,21,110,67.03,-60,14,67.03,-14,62,67.03,-5,77,383.6,-46,8,2024-01-02 08:00:00
2024-01-02,2024-01-02,FCR,1,NEGPOS_12_16,59.21,72,59.21,42,93,327.4,-65,25,59.21,-21,486,6,145,564,59.21,31,110,59.21,-60,14,59.21,-11,62,59.21,-15,77,383.6,-46,12,2024-01-02 12:00:00
2024-01-02,2024-01-02,FCR,1,NEGPOS_16_20,60,72,60,42,93,277.4,-65,25,60,-22,486,5,145,564,60,11,110,60,-60,14,60,-14,62,60,9,77,383.6,-46,16,2024-01-02 16:00:00
2024-01-02,2024-01-02,FCR,1,NEGPOS_20_24,57.04,72,57.04,43,93,327.4,-65,25,57.04,-22,486,8.8,145,564,57.04,30,110,57.04,-60,14,57.04,-14,62,57.04,-11,77,383.6,-46,20,2024-01-02 20:00:00
2024-01-03,2024-01-03,FCR,1,NEGPOS_00_04,94.4,72,94.4,-3,93,279,-65,25,94.4,-15,486,4.86,145,564,94.4,54,110,94.4,-54,14,94.4,-12,62,94.4,-9,77,320,-41,0,2024-01-03 00:00:00
2024-01-03,2024-01-03,FCR,1,NEGPOS_04_08,87.7,72,87.7,-3,93,279,-65,25,87.7,-15,486,6,145,564,87.7,59,110,87.7,-57,14,87.7,-13,62,87.7,-10,77,320,-41,4,2024-01-03 04:00:00
2024-01-03,2024-01-03,FCR,1,NEGPOS_08_12,56.4,72,56.4,61,93,279,-65,25,56.4,-16,486,12,145,564,56.4,2,110,56.4,-60,14,56.4,-14,62,56.4,-12,77,320,-41,8,2024-01-03 08:00:00
2024-01-03,2024-01-03,FCR,1,NEGPOS_12_16,60,72,60,52,93,279,-65,25,60,-16,486,7,145,564,60,0,110,60,-60,14,60,-12,62,60,-3,77,379.6,-41,12,2024-01-03 12:00:00
2024-01-03,2024-01-03,FCR,1,NEGPOS_16_20,67.4,72,67.4,52,93,279,-65,25,67.4,-22,486,4.8,145,564,67.4,-17,110,67.4,-60,14,67.4,-14,62,67.4,22,77,379.6,-41,16,2024-01-03 16:00:00
2024-01-03,2024-01-03,FCR,1,NEGPOS_20_24,55.6,72,55.6,20,93,279,-65,25,55.6,-22,486,9.6,145,564,55.6,59,110,55.6,-60,14,55.6,-14,62,55.6,-22,77,379.6,-41,20,2024-01-03 20:00:00
2024-01-04,2024-01-04,FCR,1,NEGPOS_00_04,135.6,72,135.6,-38,93,206.6,-65,25,135.6,-15,486,6.2,145,564,135.6,66,110,135.6,-29,14,135.6,-7,62,135.6,-4,77,296,-53,0,2024-01-04 00:00:00
2024-01-04,2024-01-04,FCR,1,NEGPOS_04_08,107.6,72,107.6,-30,93,206.6,-65,25,107.6,-17,486,7.29,145,564,107.6,82,110,107.6,-35,14,107.6,-8,62,107.6,-19,77,296,-53,4,2024-01-04 04:00:00
2024-01-04,2024-01-04,FCR,1,NEGPOS_08_12,56.17,72,56.17,-8,93,206.6,-65,25,56.17,-21,486,8.28,145,564,56.17,86,110,56.17,-41,14,56.17,-14,62,56.17,-29,77,296,-53,8,2024-01-04 08:00:00
2024-01-04,2024-01-04,FCR,1,NEGPOS_12_16,54,72,54,1,93,278.6,-65,25,54,-21,486,6.4,145,564,54,70,110,54,-40,14,54,-14,62,54,-23,77,336,-53,12,2024-01-04 12:00:00
2024-01-04,2024-01-04,FCR,1,NEGPOS_16_20,56,72,56,-3,93,278.6,-65,25,56,-22,486,6.72,145,564,56,12,110,56,-49,14,56,-14,62,56,49,77,336,-53,16,2024-01-04 16:00:00
2024-01-04,2024-01-04,FCR,1,NEGPOS_20_24,49.6,72,49.6,-29,93,278.6,-65,25,49.6,-22,486,7.8,145,564,49.6,92,110,49.6,-23,14,49.6,-14,62,49.6,-31,77,336,-53,20,2024-01-04 20:00:00
2024-01-05,2024-01-05,FCR,1,NEGPOS_00_04,81.4,72,81.4,-13,93,81.4,-63,25,81.4,-20,486,8.8,145,564,81.4,85,110,81.4,-32,14,81.4,-13,62,81.4,-38,77,271.2,-51,0,2024-01-05 00:00:00
2024-01-05,2024-01-05,FCR,1,NEGPOS_04_08,65.2,72,65.2,3,93,65.2,-63,25,65.2,-21,486,8,145,564,65.2,85,110,65.2,-40,14,65.2,-14,62,65.2,-43,77,271.2,-51,4,2024-01-05 04:00:00
2024-01-05,2024-01-05,FCR,1,NEGPOS_08_12,50.04,72,50.04,1,93,55.4,-63,25,50.04,-21,486,6.8,145,564,50.04,72,110,50.04,-45,14,50.04,-14,62,50.04,-24,77,271.2,-51,8,2024-01-05 08:00:00
2024-01-05,2024-01-05,FCR,1,NEGPOS_12_16,42.8,72,42.8,-7,93,55.4,-63,25,42.8,-22,486,5.72,145,564,42.8,95,110,42.8,-43,14,42.8,-14,62,42.8,-40,77,271.2,-51,12,2024-01-05 12:00:00
2024-01-05,2024-01-05,FCR,1,NEGPOS_16_20,54.4,72,54.4,8,93,84.2,-63,25,54.4,-22,486,5.16,145,564,54.4,66,110,54.4,-43,14,54.4,-14,62,54.4,-26,77,271.2,-51,16,2024-01-05 16:00:00
2024-01-05,2024-01-05,FCR,1,NEGPOS_20_24,40.4,72,40.4,-21,93,84.2,-63,25,40.4,-23,486,7.8,145,564,40.4,95,110,40.4,-29,14,40.4,-14,62,40.4,-39,77,271.2,-51,20,2024-01-05 20:00:00
2024-01-06,2024-01-06,FCR,1,NEGPOS_00_04,69.62,72,69.62,-11,93,224.68,-65,25,69.62,-21,486,5.73,145,564,69.62,65,110,69.62,-49,14,69.62,-11,62,69.62,-24,77,69.62,-29,0,2024-01-06 00:00:00
2024-01-06,2024-01-06,FCR,1,NEGPOS_04_08,56.04,72,56.04,-9,93,158.28,-65,25,56.04,-21,486,10,145,564,56.04,64,110,56.04,-42,14,56.04,-14,62,56.04,-29,77,56.04,-29,4,2024-01-06 04:00:00
2024-01-06,2024-01-06,FCR,1,NEGPOS_08_12,38.4,72,38.4,-28,93,158.28,-65,25,38.4,-22,486,4,145,564,38.4,104,110,38.4,-53,14,38.4,-14,62,38.4,-38,77,38.4,-29,8,2024-01-06 08:00:00
2024-01-06,2024-01-06,FCR,1,NEGPOS_12_16,36.35,72,36.35,-32,93,158.28,-65,25,36.35,-22,486,3.92,145,564,36.35,121,110,36.35,-54,14,36.35,-14,62,36.35,-31,77,36.35,-48,12,2024-01-06 12:00:00
2024-01-06,2024-01-06,FCR,1,NEGPOS_16_20,41.13,72,41.13,9,93,158.28,-65,25,41.13,-23,486,3.92,145,564,41.13,60,110,41.13,-48,14,41.13,-14,62,41.13,-35,77,41.13,-29,16,2024-01-06 16:00:00
2024-01-06,2024-01-06,FCR,1,NEGPOS_20_24,37.6,72,37.6,-25,93,158.28,-65,25,37.6,-23,486,3.92,145,564,37.6,91,110,37.6,-53,14,37.6,-14,62,37.6,-27,77,37.6,-29,20,2024-01-06 20:00:00
2024-01-07,2024-01-07,FCR,1,NEGPOS_00_04,54.95,72,54.95,-47,93,219.08,-65,25,54.95,-21,486,5.73,145,564,54.95,73,110,54.95,-31,14,54.95,-10,62,54.95,-14,77,54.95,-30,0,2024-01-07 00:00:00
2024-01-07,2024-01-07,FCR,1,NEGPOS_04_08,58,72,58,-43,93,219.08,-65,25,58,-21,486,8.04,145,564,58,75,110,58,-39,14,58,-10,62,58,-12,77,58,-30,4,2024-01-07 04:00:00
2024-01-07,2024-01-07,FCR,1,NEGPOS_08_12,38.86,72,38.86,-26,93,219.08,-65,25,38.86,-22,486,9.53,145,564,38.86,88,110,38.86,-49,14,38.86,-14,62,38.86,-27,77,38.86,-30,8,2024-01-07 08:00:00
2024-01-07,2024-01-07,FCR,1,NEGPOS_12_16,34.12,72,34.12,-30,93,219.08,-65,25,34.12,-22,486,5.57,145,564,34.12,92,110,34.12,-49,14,34.12,-14,62,34.12,-27,77,34.12,-30,12,2024-01-07 12:00:00
